Município,Código Município IBGE,População estimada (2020),UF1,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021
AMERICANA,3501608,242018,SP,36%,34%,34%,35%,37%,34%,33%,33%,33%,32%,35%,37%,34%,34%,34%,31%,34%,39%,41%,42%,43%,57%,56%,51%,53%,54%,54%,52%,56%,59%,54%,54%,54%,53%,53%,58%,58%,50%,50%,49%,46%,57%,53%,58%,47%,48%,47%,47%,45%,49%,58%,48%,55%,45%,45%,45%,50%,57%,45%,45%,44%,43%,54%,50%,56%,45%,44%,43%,43%,42%,47%,51%,44%,43%,43%,43%,43%,46%,50%,45%,44%,43%,44%,44%,46%,50%,44%,41%,44%,44%,44%,48%,50%,44%,45%,44%,44%,43%,47%,48%,43%,44%,43%,46%,42%,45%,48%,43%,43%,43%,42%,42%,44%,48%,43%,44%,44%,43%,42%,45%,48%,42%,43%,43%,42%,42%,44%,48%,42%,43%,43%,43%,43%,44%,48%,43%,43%,42%,43%,42%,44%,48%,40%,39%,40%,38%,38%,43%,48%,40%,39%,39%,40%,39%,42%,48%,39%,39%,38%,38%,37%,41%,44%,39%,39%,38%,35%,36%,37%,43%,36%,37%,35%,35%,36%,37%,41%,35%,35%,36%,35%,35%,34%,39%,35%,35%,33%,35%,34%,35%,39%,39%,34%,33%,33%,32%,35%,40%,34%,34%,34%,33%,34%,36%,38%,33%,34%,34%,33%,33%,34%,41%,33%,34%,33%,32%,32%,36%,42%,37%,38%,36%,37%,37%,37%,44%,44%,37%,35%,37%,39%,38%,43%,37%,37%,37%,36%,34%,38%,43%,37%,37%,36%,36%,36%,43%,41%,45%,36%,37%,35%,35%,37%,43%,37%,37%,36%,35%,35%,37%,41%,37%,36%,36%,35%,35%,37%,43%,36%,36%,36%,36%,35%,38%,43%,37%,36%,36%,36%,35%,39%,41%,37%,37%,36%,37%,37%,38%,41%,37%,38%,38%,36%,36%,37%,42%,38%,36%,37%,40%,44%,45%,48%,40%,40%,39%,44%,44%,46%,48%,38%,37%,40%,39%,37%,43%,42%,36%,37%,38%,37%,37%,39%,44%,36%,36%,37%,37%,37%,38%,44%,38%,36%,36%,37%,37%,40%,45%,36%,36%,36%,36%,36%,39%,44%,35%,37%,36%,36%,35%,40%,46%,35%,38%,36%,36%,33%,38%,42%,36%,36%,37%,36%,36%,40%,46%,36%,37%,38%,38%,37%,43%,49%,38%,39%,38%,38%,38%,43%,48%,40%,41%,38%,40%,39%,44%,50%,39%,41%,38%,38%,39%,44%,47%,41%,40%,39%,38%,45%,44%,49%,40%,40%,40%,39%,38%,42%,48%,39%,40%,38%,38%,39%,42%,48%,38%,39%,44%,37%
AMPARO,3501905,72677,SP,33%,33%,33%,35%,36%,36%,36%,36%,36%,34%,36%,37%,35%,35%,32%,38%,40%,45%,46%,47%,48%,62%,58%,55%,55%,55%,54%,55%,56%,60%,54%,57%,57%,56%,56%,59%,61%,54%,52%,54%,51%,65%,59%,63%,53%,52%,53%,52%,51%,57%,63%,54%,60%,51%,51%,51%,55%,63%,51%,51%,51%,49%,58%,56%,62%,50%,50%,50%,50%,48%,51%,57%,50%,50%,50%,49%,49%,47%,52%,45%,44%,44%,45%,44%,47%,54%,49%,43%,44%,44%,43%,46%,51%,43%,44%,44%,43%,43%,48%,49%,39%,42%,42%,45%,42%,43%,47%,40%,38%,41%,39%,40%,43%,46%,40%,40%,40%,39%,39%,42%,47%,40%,41%,40%,40%,40%,41%,47%,40%,40%,40%,40%,40%,43%,47%,41%,41%,40%,40%,41%,44%,48%,41%,40%,41%,39%,39%,43%,48%,40%,39%,41%,40%,39%,39%,49%,40%,39%,40%,,39%,40%,46%,40%,41%,37%,38%,41%,41%,48%,40%,41%,39%,40%,40%,40%,47%,39%,39%,39%,39%,38%,38%,47%,40%,38%,38%,38%,37%,39%,41%,45%,41%,37%,38%,38%,39%,44%,38%,38%,39%,38%,39%,39%,42%,39%,38%,38%,38%,37%,37%,43%,39%,38%,36%,37%,37%,37%,43%,37%,37%,37%,38%,38%,36%,45%,44%,35%,39%,36%,39%,40%,45%,38%,38%,38%,36%,37%,40%,44%,37%,37%,37%,37%,36%,40%,45%,43%,39%,37%,36%,37%,37%,42%,38%,37%,38%,36%,37%,37%,41%,38%,37%,37%,37%,39%,37%,40%,37%,36%,37%,38%,39%,36%,41%,37%,36%,37%,38%,37%,36%,42%,37%,38%,38%,37%,37%,37%,40%,38%,37%,38%,37%,36%,37%,40%,35%,38%,37%,38%,44%,44%,45%,38%,39%,39%,39%,42%,46%,47%,38%,38%,43%,38%,36%,45%,43%,40%,40%,40%,39%,36%,42%,47%,39%,38%,40%,35%,36%,41%,46%,38%,37%,36%,39%,39%,41%,46%,38%,40%,39%,39%,37%,39%,44%,39%,39%,39%,38%,37%,40%,46%,46%,40%,39%,39%,38%,40%,44%,39%,39%,46%,39%,37%,40%,46%,36%,38%,36%,38%,38%,43%,49%,39%,41%,41%,40%,40%,43%,48%,41%,42%,40%,41%,41%,43%,48%,39%,42%,41%,40%,41%,43%,51%,42%,40%,41%,41%,42%,42%,47%,41%,38%,40%,40%,37%,42%,45%,38%,36%,37%,39%,39%,40%,46%,37%,40%,45%,36%
ANDRADINA,3502101,57202,SP,37%,36%,36%,36%,37%,39%,38%,38%,38%,37%,37%,38%,38%,38%,34%,38%,38%,43%,42%,44%,44%,50%,50%,49%,49%,50%,49%,50%,50%,53%,52%,50%,48%,47%,46%,47%,48%,44%,47%,46%,44%,47%,46%,46%,45%,47%,46%,46%,45%,47%,52%,46%,49%,45%,45%,45%,46%,48%,46%,45%,44%,44%,49%,48%,50%,46%,44%,44%,47%,43%,46%,48%,45%,46%,44%,45%,46%,47%,49%,45%,45%,47%,44%,44%,47%,51%,47%,43%,43%,44%,45%,45%,47%,44%,43%,43%,44%,44%,47%,50%,43%,44%,43%,45%,42%,43%,46%,43%,43%,43%,42%,42%,43%,47%,43%,43%,44%,43%,42%,44%,47%,44%,44%,42%,43%,43%,42%,48%,44%,43%,42%,43%,42%,42%,47%,43%,42%,43%,43%,42%,45%,47%,42%,41%,42%,42%,41%,42%,48%,43%,41%,42%,42%,42%,42%,46%,42%,41%,42%,41%,40%,42%,44%,42%,41%,41%,41%,42%,44%,50%,43%,45%,42%,41%,42%,44%,48%,45%,45%,44%,43%,40%,43%,49%,42%,43%,43%,42%,42%,43%,45%,46%,39%,41%,42%,42%,40%,45%,41%,40%,40%,43%,42%,43%,46%,43%,43%,43%,40%,41%,41%,46%,41%,41%,39%,40%,42%,40%,44%,41%,40%,42%,43%,37%,41%,46%,46%,41%,43%,43%,43%,44%,44%,42%,41%,40%,42%,41%,43%,46%,40%,43%,42%,43%,43%,41%,46%,45%,41%,42%,41%,42%,42%,45%,39%,40%,40%,39%,39%,39%,44%,39%,41%,41%,38%,39%,40%,45%,41%,41%,41%,39%,40%,41%,43%,40%,40%,43%,41%,41%,41%,44%,41%,42%,42%,36%,42%,40%,43%,42%,41%,42%,41%,40%,40%,44%,43%,41%,40%,39%,45%,42%,45%,39%,41%,42%,43%,45%,47%,47%,41%,41%,57%,40%,39%,45%,43%,40%,41%,42%,41%,40%,43%,45%,42%,43%,43%,41%,40%,41%,45%,41%,42%,41%,41%,41%,41%,46%,40%,42%,40%,40%,39%,40%,43%,39%,41%,42%,39%,41%,40%,46%,49%,41%,41%,42%,39%,41%,42%,41%,40%,49%,41%,40%,41%,48%,41%,44%,44%,41%,40%,44%,48%,40%,41%,42%,40%,41%,43%,47%,40%,41%,42%,42%,41%,45%,48%,37%,42%,41%,43%,42%,44%,50%,43%,43%,42%,40%,42%,46%,47%,41%,39%,41%,41%,42%,44%,47%,42%,44%,43%,42%,43%,41%,50%,42%,44%,49%,44%
ARAÇATUBA,3502804,198129,SP,32%,,,,33%,31%,31%,30%,,,31%,33%,30%,30%,,29%,31%,36%,37%,38%,39%,51%,51%,47%,49%,48%,48%,45%,48%,52%,48%,48%,48%,48%,47%,51%,52%,45%,44%,43%,40%,52%,47%,52%,43%,44%,43%,42%,41%,46%,53%,42%,52%,41%,40%,40%,45%,52%,41%,40%,40%,39%,51%,44%,51%,40%,39%,38%,39%,37%,42%,45%,39%,39%,38%,39%,39%,41%,46%,42%,40%,40%,40%,39%,43%,45%,46%,37%,39%,39%,39%,43%,45%,38%,41%,39%,39%,38%,45%,47%,40%,38%,38%,43%,38%,39%,45%,41%,40%,40%,39%,37%,41%,45%,39%,40%,39%,38%,37%,41%,45%,38%,41%,39%,39%,39%,40%,45%,38%,37%,39%,40%,37%,40%,45%,39%,40%,38%,39%,37%,40%,45%,38%,38%,39%,36%,34%,37%,43%,37%,37%,36%,36%,34%,38%,43%,36%,34%,34%,34%,34%,36%,40%,36%,35%,35%,35%,36%,37%,44%,35%,36%,36%,36%,35%,36%,40%,34%,36%,34%,34%,33%,35%,40%,35%,36%,34%,34%,34%,35%,38%,40%,33%,34%,34%,32%,36%,38%,35%,34%,35%,35%,34%,36%,39%,35%,36%,35%,34%,34%,35%,39%,34%,33%,34%,34%,34%,33%,39%,33%,35%,33%,34%,33%,34%,38%,40%,32%,34%,34%,35%,33%,40%,35%,35%,35%,35%,34%,34%,38%,36%,34%,34%,34%,34%,37%,40%,39%,34%,34%,34%,32%,35%,41%,34%,34%,35%,33%,33%,34%,38%,35%,36%,34%,34%,35%,35%,40%,35%,34%,34%,34%,35%,36%,39%,36%,35%,37%,35%,34%,36%,40%,34%,35%,34%,35%,36%,34%,37%,35%,34%,36%,33%,34%,35%,40%,36%,35%,35%,35%,42%,40%,42%,34%,37%,36%,37%,43%,43%,44%,35%,34%,39%,37%,34%,40%,41%,37%,34%,36%,34%,34%,37%,42%,33%,34%,34%,34%,34%,36%,41%,34%,34%,35%,34%,35%,38%,43%,35%,32%,33%,35%,35%,37%,39%,34%,34%,33%,35%,33%,37%,39%,35%,36%,33%,36%,33%,35%,39%,33%,34%,42%,34%,32%,35%,42%,33%,34%,35%,36%,34%,41%,45%,35%,39%,39%,35%,38%,42%,46%,37%,40%,38%,41%,38%,44%,47%,38%,41%,38%,38%,39%,40%,46%,36%,36%,36%,38%,42%,40%,44%,38%,37%,39%,36%,35%,38%,43%,35%,39%,36%,38%,38%,40%,43%,36%,38%,44%,35%
ARARAQUARA,3503208,238339,SP,,,,,33%,,,,,,,32%,,,,28%,30%,35%,37%,38%,38%,49%,51%,47%,49%,51%,50%,48%,50%,54%,51%,51%,50%,49%,49%,52%,53%,47%,46%,45%,41%,53%,48%,53%,45%,46%,45%,44%,43%,47%,54%,44%,53%,42%,42%,42%,47%,53%,43%,42%,42%,40%,52%,46%,53%,41%,41%,41%,40%,38%,42%,47%,40%,40%,40%,41%,39%,44%,49%,42%,41%,42%,41%,40%,45%,50%,46%,39%,41%,42%,40%,44%,47%,40%,40%,39%,39%,39%,46%,47%,39%,39%,38%,42%,39%,41%,45%,37%,38%,38%,37%,37%,39%,45%,38%,38%,38%,37%,37%,41%,45%,38%,38%,38%,38%,37%,39%,44%,37%,36%,37%,38%,36%,39%,44%,37%,37%,37%,37%,38%,41%,46%,37%,37%,37%,37%,36%,39%,45%,38%,37%,37%,37%,36%,38%,44%,37%,36%,36%,36%,35%,38%,42%,38%,37%,36%,36%,37%,39%,46%,38%,38%,37%,37%,37%,41%,46%,37%,37%,36%,37%,35%,37%,44%,37%,37%,36%,36%,34%,36%,40%,43%,35%,36%,35%,35%,37%,42%,37%,37%,36%,36%,36%,37%,44%,36%,38%,37%,36%,36%,38%,42%,36%,37%,36%,36%,35%,36%,43%,36%,36%,35%,36%,36%,36%,42%,44%,35%,36%,36%,37%,38%,43%,36%,36%,36%,35%,36%,38%,42%,36%,36%,36%,36%,35%,39%,43%,42%,35%,36%,35%,34%,38%,40%,34%,34%,35%,34%,34%,38%,40%,35%,35%,34%,34%,36%,38%,40%,35%,35%,35%,35%,37%,38%,41%,35%,34%,35%,35%,35%,36%,40%,35%,35%,35%,35%,35%,36%,41%,36%,35%,35%,35%,34%,36%,41%,36%,35%,35%,36%,43%,42%,44%,37%,38%,37%,40%,44%,44%,47%,36%,35%,41%,37%,36%,43%,42%,37%,35%,36%,36%,35%,38%,43%,36%,36%,36%,36%,36%,38%,43%,36%,36%,35%,35%,35%,40%,44%,36%,36%,36%,36%,36%,38%,44%,37%,37%,37%,36%,37%,40%,46%,45%,43%,41%,42%,40%,42%,51%,49%,49%,54%,46%,45%,45%,51%,41%,42%,40%,39%,38%,44%,50%,39%,41%,39%,38%,39%,42%,48%,38%,40%,39%,40%,38%,42%,47%,38%,39%,37%,38%,38%,39%,47%,38%,37%,41%,42%,44%,43%,46%,37%,37%,38%,37%,36%,40%,46%,37%,39%,37%,37%,36%,40%,47%,37%,37%,44%,37%
ARARAS,3503307,135506,SP,33%,32%,,33%,36%,33%,32%,32%,31%,31%,34%,36%,33%,33%,31%,34%,36%,42%,42%,43%,44%,56%,56%,52%,53%,54%,53%,52%,55%,58%,55%,54%,48%,48%,52%,56%,58%,50%,50%,49%,47%,61%,54%,59%,51%,51%,50%,48%,48%,52%,60%,50%,59%,48%,48%,48%,52%,59%,49%,47%,46%,45%,55%,51%,58%,47%,46%,46%,45%,44%,47%,53%,47%,45%,46%,48%,45%,45%,50%,44%,42%,43%,43%,42%,46%,51%,47%,41%,44%,43%,42%,47%,50%,42%,42%,43%,42%,41%,46%,47%,41%,41%,41%,45%,41%,43%,48%,41%,41%,41%,40%,41%,43%,47%,42%,41%,41%,42%,41%,44%,48%,42%,42%,41%,41%,41%,44%,49%,42%,41%,41%,41%,40%,43%,49%,41%,41%,42%,40%,42%,43%,49%,40%,40%,40%,39%,39%,43%,48%,41%,39%,40%,39%,39%,41%,48%,36%,37%,37%,37%,38%,39%,46%,38%,39%,38%,38%,38%,42%,48%,40%,39%,39%,39%,38%,41%,46%,39%,39%,38%,39%,38%,39%,45%,37%,39%,38%,38%,37%,38%,42%,45%,38%,38%,37%,37%,38%,43%,37%,38%,37%,37%,37%,38%,43%,38%,38%,38%,37%,37%,39%,42%,37%,38%,38%,38%,37%,37%,42%,37%,37%,37%,37%,37%,36%,43%,43%,36%,36%,37%,37%,38%,42%,38%,36%,37%,37%,36%,39%,44%,38%,37%,36%,37%,36%,40%,43%,44%,37%,37%,35%,36%,38%,43%,36%,36%,36%,35%,36%,38%,42%,36%,36%,37%,36%,38%,39%,42%,37%,36%,37%,34%,38%,39%,42%,34%,36%,37%,36%,35%,37%,41%,36%,37%,36%,37%,36%,37%,41%,37%,38%,37%,37%,35%,37%,42%,37%,36%,36%,38%,44%,42%,45%,38%,39%,38%,41%,44%,44%,46%,37%,36%,39%,38%,35%,43%,43%,38%,36%,37%,37%,36%,39%,45%,37%,36%,37%,37%,36%,39%,42%,36%,36%,36%,37%,37%,40%,44%,36%,38%,36%,35%,36%,40%,45%,36%,36%,35%,36%,35%,39%,43%,36%,39%,37%,37%,37%,39%,49%,37%,38%,45%,36%,36%,40%,47%,36%,37%,37%,37%,37%,44%,51%,39%,40%,39%,39%,38%,42%,50%,39%,40%,39%,40%,39%,44%,49%,39%,40%,39%,38%,39%,41%,47%,41%,41%,41%,40%,45%,43%,50%,42%,39%,39%,37%,38%,42%,47%,38%,40%,38%,39%,39%,41%,48%,37%,39%,44%,38%
ARTUR NOGUEIRA,3503802,55340,SP,37%,40%,39%,42%,42%,40%,41%,41%,40%,39%,42%,42%,40%,41%,39%,41%,40%,44%,44%,45%,44%,51%,53%,49%,51%,52%,51%,52%,54%,55%,52%,52%,51%,48%,49%,51%,51%,48%,49%,48%,48%,52%,49%,50%,48%,49%,50%,49%,48%,51%,55%,49%,54%,47%,48%,48%,51%,54%,49%,50%,46%,48%,53%,52%,54%,49%,49%,49%,49%,48%,51%,53%,49%,50%,49%,49%,49%,52%,54%,48%,48%,47%,50%,48%,51%,55%,54%,50%,48%,49%,48%,50%,54%,49%,49%,49%,48%,47%,50%,50%,47%,47%,47%,49%,47%,48%,51%,47%,47%,47%,46%,46%,49%,51%,45%,47%,47%,47%,47%,49%,52%,48%,48%,47%,47%,46%,50%,52%,47%,47%,47%,48%,47%,49%,52%,47%,47%,47%,48%,47%,50%,52%,47%,47%,47%,47%,46%,51%,54%,47%,37%,47%,47%,48%,50%,54%,47%,46%,46%,46%,46%,49%,52%,45%,47%,44%,46%,48%,37%,54%,47%,49%,47%,48%,47%,52%,54%,46%,47%,47%,46%,46%,49%,52%,47%,47%,45%,46%,44%,47%,49%,50%,46%,46%,45%,46%,46%,49%,44%,38%,45%,42%,46%,48%,50%,46%,47%,44%,44%,42%,44%,45%,42%,42%,,43%,44%,46%,50%,45%,43%,45%,47%,46%,47%,50%,51%,44%,45%,45%,46%,48%,50%,45%,45%,46%,43%,43%,45%,49%,45%,45%,45%,45%,45%,46%,50%,50%,44%,44%,44%,45%,47%,49%,45%,45%,45%,43%,45%,48%,50%,44%,45%,45%,44%,46%,48%,50%,45%,44%,45%,44%,46%,48%,48%,44%,43%,45%,46%,45%,47%,49%,45%,45%,44%,44%,44%,46%,49%,46%,46%,46%,46%,46%,48%,49%,45%,47%,46%,47%,50%,52%,54%,47%,48%,47%,47%,49%,52%,52%,46%,46%,60%,47%,47%,51%,50%,46%,47%,45%,47%,47%,49%,52%,46%,46%,45%,46%,47%,48%,51%,45%,47%,47%,46%,47%,49%,53%,46%,48%,45%,46%,46%,49%,51%,46%,46%,46%,46%,46%,49%,53%,62%,47%,46%,46%,45%,47%,52%,45%,47%,62%,47%,46%,48%,54%,44%,47%,46%,47%,47%,52%,56%,47%,48%,48%,48%,47%,51%,55%,47%,49%,48%,49%,48%,52%,56%,48%,49%,48%,48%,48%,52%,57%,48%,49%,49%,48%,53%,53%,57%,48%,48%,48%,48%,47%,50%,55%,47%,48%,48%,48%,48%,50%,54%,47%,47%,54%,47%
ARUJÁ,3503901,91157,SP,33%,32%,31%,33%,37%,32%,33%,31%,31%,,33%,36%,31%,32%,30%,31%,35%,40%,41%,43%,44%,57%,55%,51%,51%,54%,53%,55%,59%,60%,51%,56%,55%,54%,55%,61%,62%,51%,51%,51%,52%,50%,63%,67%,55%,55%,54%,53%,52%,58%,65%,55%,62%,52%,52%,51%,57%,63%,52%,52%,51%,51%,60%,57%,66%,50%,51%,50%,52%,49%,55%,61%,52%,52%,50%,52%,51%,49%,54%,46%,45%,46%,46%,45%,49%,54%,50%,44%,45%,45%,44%,50%,52%,44%,45%,45%,44%,43%,46%,51%,45%,43%,44%,47%,43%,46%,51%,45%,44%,44%,43%,41%,45%,50%,43%,43%,43%,41%,42%,46%,50%,43%,42%,41%,41%,41%,44%,49%,42%,42%,41%,42%,41%,44%,49%,42%,42%,42%,42%,41%,44%,48%,39%,39%,38%,38%,37%,41%,48%,40%,39%,39%,38%,38%,39%,48%,38%,38%,37%,36%,35%,38%,43%,34%,36%,35%,36%,35%,37%,47%,35%,36%,37%,36%,35%,38%,41%,35%,36%,34%,32%,32%,36%,40%,35%,34%,35%,34%,33%,36%,39%,40%,34%,34%,34%,33%,35%,39%,34%,34%,33%,34%,33%,35%,41%,35%,36%,35%,32%,32%,34%,39%,33%,33%,33%,34%,32%,33%,39%,33%,32%,33%,34%,33%,34%,37%,40%,31%,33%,34%,35%,34%,42%,33%,34%,33%,35%,34%,36%,42%,35%,34%,34%,35%,35%,42%,43%,43%,34%,36%,34%,32%,36%,41%,34%,33%,34%,33%,33%,34%,40%,33%,35%,35%,33%,36%,36%,40%,34%,35%,35%,34%,35%,34%,38%,34%,33%,35%,33%,33%,34%,38%,34%,35%,33%,34%,35%,35%,38%,36%,33%,36%,34%,33%,35%,40%,36%,34%,35%,36%,44%,42%,44%,35%,38%,37%,38%,44%,46%,47%,35%,35%,35%,37%,35%,39%,42%,37%,36%,36%,37%,36%,37%,40%,35%,36%,36%,37%,35%,35%,40%,34%,35%,33%,35%,34%,34%,39%,34%,36%,34%,34%,32%,35%,41%,34%,34%,35%,34%,34%,35%,44%,35%,38%,35%,36%,34%,35%,40%,34%,33%,36%,32%,34%,37%,42%,32%,35%,34%,35%,33%,41%,44%,37%,37%,35%,36%,36%,41%,45%,36%,39%,33%,38%,37%,35%,46%,35%,39%,36%,38%,40%,39%,46%,38%,38%,36%,37%,39%,41%,47%,38%,37%,38%,36%,35%,37%,47%,36%,39%,36%,38%,38%,38%,43%,37%,36%,44%,36%
